"Make Id","Model Id","Submodel Id","Trim Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Trim MSRP","Trim Invoice","Trim Created","Trim Modified"
1,7061,72322,6328,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan w/Red Leather (2.4L 4cyl 8AM)",39400,37406,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72322,6327,2020,Acura,TLX,Base,A-Spec,"A-Spec 4dr Sedan (2.4L 4cyl 8AM)",39400,37406,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
1,7061,72322,6323,2020,Acura,TLX,Base,Base,"4dr Sedan w/Technology Package (3.5L 6cyl 9A)",40100,38069,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7062,72338,6334,2020,"Alfa Romeo",4C,Spider,Spider,"Spider 2dr Coupe (1.7L 4cyl Turbo 6AM)",67150,64646,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72331,6347,2020,"Alfa Romeo",Giulia,Quadrifoglio,Quadrifoglio,"Quadrifoglio 4dr Sedan (2.9L 6cyl Turbo 8A)",74500,69755,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72330,6336,2020,"Alfa Romeo",Giulia,Base,Base,"4dr Sedan AWD (2.0L 4cyl Turbo 8A)",41400,39303,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72332,6337,2020,"Alfa Romeo",Giulia,Sport,Sport,"Sport 4dr Sedan (2.0L 4cyl Turbo 8A)",40850,38783,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72330,6335,2020,"Alfa Romeo",Giulia,Base,Base,"4dr Sedan (2.0L 4cyl Turbo 8A)",39400,37463,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72332,6338,2020,"Alfa Romeo",Giulia,Sport,Sport,"Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A)",42850,40623,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6339,2020,"Alfa Romeo",Giulia,TI,Ti,"Ti 4dr Sedan (2.0L 4cyl Turbo 8A)",41400,39303,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6340,2020,"Alfa Romeo",Giulia,TI,Ti,"Ti 4dr Sedan AWD (2.0L 4cyl Turbo 8A)",43400,41143,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6341,2020,"Alfa Romeo",Giulia,TI,"Ti Lusso","Ti Lusso 4dr Sedan (2.0L 4cyl Turbo 8A)",43900,41578,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6342,2020,"Alfa Romeo",Giulia,TI,"Ti Lusso","Ti Lusso 4dr Sedan AWD (2.0L 4cyl Turbo 8A)",45900,43418,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6343,2020,"Alfa Romeo",Giulia,TI,"Ti Sport","Ti Sport 4dr Sedan (2.0L 4cyl Turbo 8A)",44400,42033,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6344,2020,"Alfa Romeo",Giulia,TI,"Ti Sport","Ti Sport 4dr Sedan AWD (2.0L 4cyl Turbo 8A)",46400,43873,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6345,2020,"Alfa Romeo",Giulia,TI,"Ti Sport Carbon","Ti Sport Carbon 4dr Sedan (2.0L 4cyl Turbo 8A)",48400,45673,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,3306,72333,6346,2020,"Alfa Romeo",Giulia,TI,"Ti Sport Carbon","Ti Sport Carbon 4dr Sedan AWD (2.0L 4cyl Turbo 8A)",50400,47513,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72337,6352,2020,"Alfa Romeo",Stelvio,TI,Ti,"Ti 4dr SUV AWD (2.0L 4cyl Turbo 8A)",45800,43426,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72336,6351,2020,"Alfa Romeo",Stelvio,Sport,Sport,"Sport 4dr SUV AWD (2.0L 4cyl Turbo 8A)",44850,42538,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
24,7261,72336,6350,2020,"Alfa Romeo",Stelvio,Sport,Sport,"Sport 4dr SUV (2.0L 4cyl Turbo 8A)",42850,40698,"6/29/23, 8:59 PM","6/29/23, 8:59 PM"
