"Make Id","Model Id","Model Year","Make Name","Model Name","Model Created","Model Modified"
3,7400,2020,BMW,"M340i xDrive","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
3,7066,2020,BMW,M4,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
3,5102,2020,BMW,M5,"12/27/24, 2:34 PM","12/27/24, 3:18 PM"
3,7267,2020,BMW,"M550i xDrive","12/27/24, 2:52 PM","12/27/24, 3:20 PM"
3,7203,2020,BMW,"M760i xDrive","12/27/24, 2:51 PM","12/27/24, 3:20 PM"
3,7394,2020,BMW,M8,"12/27/24, 2:54 PM","12/27/24, 3:20 PM"
3,7395,2020,BMW,"M8 Gran Coupe","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
3,7326,2020,BMW,"M850i xDrive","12/27/24, 2:53 PM","12/27/24, 3:20 PM"
3,7396,2020,BMW,"M850i xDrive Gran Coupe","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
3,6884,2020,BMW,X1,"12/27/24, 2:48 PM","12/27/24, 3:20 PM"
3,7264,2020,BMW,X2,"12/27/24, 2:52 PM","12/27/24, 3:20 PM"
3,6329,2020,BMW,X3,"12/27/24, 2:43 PM","12/27/24, 3:19 PM"
3,7067,2020,BMW,X4,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
3,5991,2020,BMW,X5,"12/27/24, 2:41 PM","12/27/24, 3:19 PM"
3,6654,2020,BMW,X6,"12/27/24, 2:46 PM","12/27/24, 3:20 PM"
3,7327,2020,BMW,X7,"12/27/24, 2:53 PM","12/27/24, 3:20 PM"
3,6232,2020,BMW,Z4,"12/27/24, 2:43 PM","12/27/24, 3:19 PM"
56,7271,2020,Bugatti,Chiron,"12/27/24, 2:52 PM","12/27/24, 3:20 PM"
56,7402,2020,Bugatti,Divo,"12/27/24, 2:54 PM","12/27/24, 3:20 PM"
4,6648,2020,Buick,Enclave,"12/27/24, 2:46 PM","12/27/24, 3:20 PM"
4,6942,2020,Buick,Encore,"12/27/24, 2:49 PM","12/27/24, 3:20 PM"
4,7378,2020,Buick,"Encore GX","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
4,7121,2020,Buick,Envision,"12/27/24, 2:51 PM","12/27/24, 3:20 PM"
4,7258,2020,Buick,"Regal Sportback","12/27/24, 2:52 PM","12/27/24, 3:20 PM"
4,7259,2020,Buick,"Regal TourX","12/27/24, 2:52 PM","12/27/24, 3:20 PM"
5,7379,2020,Cadillac,CT4,"12/27/24, 2:54 PM","12/27/24, 3:20 PM"
5,7380,2020,Cadillac,CT5,"12/27/24, 2:54 PM","12/27/24, 3:20 PM"
5,7123,2020,Cadillac,CT6,"12/27/24, 2:51 PM","12/27/24, 3:20 PM"
5,5890,2020,Cadillac,Escalade,"12/27/24, 2:40 PM","12/27/24, 3:19 PM"
5,6224,2020,Cadillac,"Escalade ESV","12/27/24, 2:43 PM","12/27/24, 3:19 PM"
5,7317,2020,Cadillac,XT4,"12/27/24, 2:53 PM","12/27/24, 3:20 PM"
5,7181,2020,Cadillac,XT5,"12/27/24, 2:51 PM","12/27/24, 3:20 PM"
5,7381,2020,Cadillac,XT6,"12/27/24, 2:54 PM","12/27/24, 3:20 PM"
6,3924,2020,Chevrolet,Blazer,"12/27/24, 2:27 PM","12/27/24, 3:16 PM"
6,7186,2020,Chevrolet,"Bolt EV","12/27/24, 2:51 PM","12/27/24, 3:20 PM"
6,3743,2020,Chevrolet,Camaro,"12/27/24, 2:26 PM","12/27/24, 3:16 PM"
6,6321,2020,Chevrolet,Colorado,"12/27/24, 2:43 PM","12/27/24, 3:19 PM"
6,2328,2020,Chevrolet,Corvette,"12/27/24, 2:20 PM","12/27/24, 3:08 PM"
6,6381,2020,Chevrolet,Equinox,"12/27/24, 2:44 PM","12/27/24, 3:20 PM"
6,5702,2020,Chevrolet,"Express 2500","12/27/24, 2:39 PM","12/27/24, 3:19 PM"
6,5703,2020,Chevrolet,"Express 3500","12/27/24, 2:39 PM","12/27/24, 3:19 PM"
6,2918,2020,Chevrolet,Impala,"12/27/24, 2:22 PM","12/27/24, 3:09 PM"
6,3443,2020,Chevrolet,Malibu,"12/27/24, 2:25 PM","12/27/24, 3:15 PM"
6,5891,2020,Chevrolet,"Silverado 1500","12/27/24, 2:40 PM","12/27/24, 3:19 PM"
6,6053,2020,Chevrolet,"Silverado 2500 HD","12/27/24, 2:41 PM","1/3/25, 12:09 PM"
6,6546,2020,Chevrolet,"Silverado 3500 HD","12/27/24, 2:45 PM","1/3/25, 12:10 PM"
6,6880,2020,Chevrolet,Sonic,"12/27/24, 2:48 PM","12/27/24, 3:20 PM"
6,6945,2020,Chevrolet,Spark,"12/27/24, 2:49 PM","12/27/24, 3:20 PM"
6,1883,2020,Chevrolet,Suburban,"12/27/24, 2:19 PM","12/27/24, 3:06 PM"
6,5637,2020,Chevrolet,Tahoe,"12/27/24, 2:38 PM","12/27/24, 5:05 PM"
6,6729,2020,Chevrolet,Traverse,"12/27/24, 2:46 PM","12/27/24, 3:20 PM"
6,7058,2020,Chevrolet,Trax,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
26,2569,2020,Chrysler,300,"12/27/24, 2:21 PM","12/27/24, 3:08 PM"
26,6315,2020,Chrysler,Pacifica,"12/27/24, 2:43 PM","12/27/24, 3:19 PM"
26,5980,2020,Chrysler,Voyager,"12/27/24, 2:41 PM","12/27/24, 3:19 PM"
27,3984,2020,Dodge,Challenger,"12/27/24, 2:27 PM","12/27/24, 3:16 PM"
27,3638,2020,Dodge,Charger,"12/27/24, 2:25 PM","12/27/24, 3:15 PM"
27,5840,2020,Dodge,Durango,"12/27/24, 2:40 PM","12/27/24, 3:19 PM"
27,5004,2020,Dodge,"Grand Caravan","12/27/24, 2:34 PM","12/27/24, 3:18 PM"
27,6739,2020,Dodge,Journey,"12/27/24, 2:46 PM","12/27/24, 3:20 PM"
46,7328,2020,Ferrari,"488 Pista","12/27/24, 2:53 PM","12/27/24, 3:20 PM"
46,7329,2020,Ferrari,"488 Pista Spider","12/27/24, 2:53 PM","12/27/24, 3:20 PM"
46,7404,2020,Ferrari,"812 GTS","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
46,7273,2020,Ferrari,"812 Superfast","12/27/24, 2:52 PM","12/27/24, 3:20 PM"
46,7406,2020,Ferrari,"F8 Tributo","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
46,7211,2020,Ferrari,GTC4Lusso,"12/27/24, 2:51 PM","12/27/24, 3:20 PM"
46,7274,2020,Ferrari,"GTC4Lusso T","12/27/24, 2:52 PM","12/27/24, 3:20 PM"
46,7275,2020,Ferrari,Portofino,"12/27/24, 2:52 PM","12/27/24, 3:20 PM"
46,7403,2020,Ferrari,Roma,"12/27/24, 2:54 PM","12/27/24, 3:20 PM"
46,7405,2020,Ferrari,"SF90 Stradale","12/27/24, 2:54 PM","12/27/24, 3:20 PM"
28,7212,2020,FIAT,"124 Spider","12/27/24, 2:51 PM","12/27/24, 3:20 PM"
28,7022,2020,FIAT,500L,"12/27/24, 2:49 PM","12/27/24, 3:20 PM"
28,7139,2020,FIAT,500X,"12/27/24, 2:51 PM","12/27/24, 3:20 PM"
29,7276,2020,Ford,EcoSport,"12/27/24, 2:52 PM","12/27/24, 3:20 PM"
29,6567,2020,Ford,Edge,"12/27/24, 2:45 PM","12/27/24, 3:20 PM"
29,6067,2020,Ford,Escape,"12/27/24, 2:42 PM","12/27/24, 3:19 PM"
29,5778,2020,Ford,Expedition,"12/27/24, 2:39 PM","12/27/24, 3:19 PM"
29,5393,2020,Ford,Explorer,"12/27/24, 2:36 PM","12/27/24, 3:18 PM"
29,4277,2020,Ford,F-150,"12/27/24, 2:29 PM","12/27/24, 3:16 PM"
29,5911,2020,Ford,"F-250 Super Duty","12/27/24, 2:40 PM","12/27/24, 3:19 PM"
29,5912,2020,Ford,"F-350 Super Duty","12/27/24, 2:40 PM","1/3/25, 12:33 PM"
29,5913,2020,Ford,"F-450 Super Duty","12/27/24, 2:40 PM","1/3/25, 12:33 PM"
29,6487,2020,Ford,Fusion,"12/27/24, 2:44 PM","12/27/24, 3:20 PM"
29,6392,2020,Ford,GT,"12/27/24, 2:44 PM","12/27/24, 3:20 PM"
29,3472,2020,Ford,Mustang,"12/27/24, 2:25 PM","12/27/24, 3:15 PM"
29,6959,2020,Ford,"Police Interceptor Utility","12/27/24, 2:49 PM","12/27/24, 3:20 PM"
29,7330,2020,Ford,"Police Responder Hybrid","12/27/24, 2:53 PM","12/27/24, 3:20 PM"
29,4756,2020,Ford,Ranger,"12/27/24, 2:32 PM","12/27/24, 3:17 PM"
29,7331,2020,Ford,"SSV Plug-In Hybrid","12/27/24, 2:53 PM","1/2/25, 8:54 PM"
29,6792,2020,Ford,"Transit Connect","12/27/24, 2:47 PM","12/27/24, 3:20 PM"
29,7078,2020,Ford,Transit-150,"12/27/24, 2:50 PM","12/27/24, 3:20 PM"
