"Make Id","Model Id","Submodel Id","Model Year","Make Name","Model Name","Submodel Name","Submodel Created","Submodel Modified"
2,7385,72383,2020,Audi,"S7 Sportback","Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7385,72382,2020,Audi,"S7 Sportback",PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6060,72384,2020,Audi,S8,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6999,72417,2020,Audi,SQ5,Premium,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6999,72418,2020,Audi,SQ5,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6999,72416,2020,Audi,SQ5,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7386,72385,2020,Audi,SQ7,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7386,72386,2020,Audi,SQ7,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7387,72387,2020,Audi,SQ8,PRESTIGE,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,7387,72388,2020,Audi,SQ8,"Premium Plus","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,5986,72423,2020,Audi,"TT Quattro",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6882,72427,2020,Audi,"TT RS Quattro",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
2,6732,72424,2020,Audi,"TTS Quattro",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,7190,72432,2020,Bentley,Bentayga,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,7190,72433,2020,Bentley,Bentayga,"Design Edition","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,7190,72434,2020,Bentley,Bentayga,Hybrid,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,7190,72435,2020,Bentley,Bentayga,Speed,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,7190,72436,2020,Bentley,Bentayga,V8,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,2282,72431,2020,Bentley,Continental,GT,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,7002,72438,2020,Bentley,"Flying Spur",W12,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,7002,72437,2020,Bentley,"Flying Spur","First Edition","12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,4590,72440,2020,Bentley,Mulsanne,Speed,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
25,4590,72439,2020,Bentley,Mulsanne,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7397,72485,2020,BMW,"228i xDrive Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7191,72441,2020,BMW,230i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7192,72442,2020,BMW,"230i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,6062,72486,2020,BMW,330i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7197,72487,2020,BMW,"330i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7193,72443,2020,BMW,430i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7198,72488,2020,BMW,"430i Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7194,72444,2020,BMW,"430i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7199,72489,2020,BMW,"430i xDrive Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7204,72521,2020,BMW,440i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7205,72522,2020,BMW,"440i Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7206,72523,2020,BMW,"440i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7207,72524,2020,BMW,"440i xDrive Gran Coupe",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7265,72505,2020,BMW,530e,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7266,72506,2020,BMW,"530e xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,4267,72445,2020,BMW,530i,Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
3,7195,72446,2020,BMW,"530i xDrive",Base,"12/27/24, 2:54 PM","12/27/24, 2:54 PM"
