"Make Id","Model Id","Submodel Id","Trim Id","Mileage Id","Model Year","Make Name","Model Name","Submodel Name","Trim Name","Trim Description","Mileage Fuel Tank Capacity","Mileage Combined Mpg","Mileage Epa City Mpg","Mileage Epa Highway Mpg","Mileage Range City","Mileage Range Highway","Mileage Epa Combined Mpg Electric","Mileage Epa City Mpg Electric","Mileage Epa Highway Mpg Electric","Mileage Range Electric","Mileage Epa Kwh 100 Mi Electric","Mileage Epa Time To Charge Hr 240v Electric","Mileage Battery Capacity Electric","Mileage Created","Mileage Modified"
1,7061,72322,6322,6322,2020,Acura,TLX,Base,Base,"4dr Sedan w/Technology Package (2.4L 4cyl 8AM)",17.2,27,23,33,396,568,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72322,6321,6321,2020,Acura,TLX,Base,Base,"4dr Sedan (3.5L 6cyl 9A)",17.2,24,20,31,344,533,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72322,6320,6320,2020,Acura,TLX,Base,Base,"4dr Sedan (2.4L 4cyl 8AM)",17.2,27,23,33,396,568,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72323,6326,6326,2020,Acura,TLX,SH-AWD,SH-AWD,"SH-AWD 4dr Sedan AWD w/Advance Package (3.5L 6cyl 9A)",17.2,23,20,29,344,499,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72323,6325,6325,2020,Acura,TLX,SH-AWD,SH-AWD,"SH-AWD 4dr Sedan AWD w/Technology Package (3.5L 6cyl 9A)",17.2,23,20,29,344,499,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72323,6324,6324,2020,Acura,TLX,SH-AWD,SH-AWD,"SH-AWD 4dr Sedan AWD (3.5L 6cyl 9A)",17.2,23,20,29,344,499,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72323,6331,6331,2020,Acura,TLX,SH-AWD,"SH-AWD A-Spec","SH-AWD A-Spec 4dr Sedan AWD (3.5L 6cyl 9A)",17.2,23,20,29,344,499,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72323,6332,6332,2020,Acura,TLX,SH-AWD,"SH-AWD A-Spec","SH-AWD A-Spec 4dr Sedan AWD w/Red Leather (3.5L 6cyl 9A)",17.2,23,20,29,344,499,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
1,7061,72323,6333,6333,2020,Acura,TLX,SH-AWD,"SH-AWD PMC Edition","SH-AWD PMC Edition 4dr Sedan AWD (3.5L 6cyl 9A)",17.2,23,20,29,344,499,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
24,7062,72338,6334,6334,2020,"Alfa Romeo",4C,Spider,Spider,"Spider 2dr Coupe (1.7L 4cyl Turbo 6AM)",10.5,28,24,34,252,357,,,,,,,,"6/29/23, 9:01 PM","3/6/25, 7:42 PM"
